DATE,CURRENCY,UNITS,STATUS
02/28/2018,SRN,306.5623901,Completed
02/16/2018,SRN,529.5915811,Completed
01/28/2018,DOGE,39316.82581,Completed
01/26/2018,DOGE,49097.67846,Completed
01/09/2018,DOGE,89993.92106,Completed
01/04/2018,BTC,0.16502229,Completed
01/03/2018,DOGE,214823.9281,Completed
01/03/2018,DOGE,131469.2608,Cancelled
01/03/2018,DOGE,13995.40794,Completed
12/31/2017,ETH,0.26169794,Completed
12/12/2017,BTC,0.00315974,Completed
12/06/2017,BTC,0.10704004,Completed
12/01/2017,BTC,0.09874983,Completed
11/20/2017,BCC,1.44075045,Completed
11/18/2017,BCC,1.35114798,Completed
11/14/2017,ETH,1.00796876,Completed
11/10/2017,ETH,1.0126691,Completed
11/07/2017,ETH,0.998,Completed
