Time,Coin,Amount,Confirmations,,Status
2018/1/9 12:26,DOGE,89993.92106,confirmed,DAcL8DJ7XxGFYDSWWmjzVppAv6nzAFrSiQ ,cleared
,,,,0f664dd3cd8b1204438a2ef945ac31d0662956334387b49467ddab8b15d85e05,
2018/1/3 3:06,DOGE,214823.9281,confirmed,DAcL8DJ7XxGFYDSWWmjzVppAv6nzAFrSiQ ,cleared
,,,,8b2091e400652efe8436edae7ec5b17c60833ad99479fbaa692a0049f0ae1e18,
2018/1/3 0:33,DOGE,13995.40794,confirmed,DAcL8DJ7XxGFYDSWWmjzVppAv6nzAFrSiQ ,cleared
,,,,0315036d53f337544d59bbdbce10dc5335bb0dd4058961fcbbb4484d76c2e5ed,
2017/12/17 8:52,DOGE,15220.84991,confirmed,DAcL8DJ7XxGFYDSWWmjzVppAv6nzAFrSiQ ,cleared
,,,,383cd0fdf737f518a26ff2d9f0822abb3269d23be8164bf6d28e351977c7ede8,
2017/11/19 7:22,ETH,4.7840597,confirmed,0x026f7ee46b61d04918e0f25f807dedfa858b2d06 ,cleared
,,,,0x2b1a6f08d84a8a0a0848261300f9df3644dd7ad0dfa0911c060bef075076d827,
2017/11/14 13:44,ETH,1.01831379,confirmed,0x026f7ee46b61d04918e0f25f807dedfa858b2d06 ,cleared
,,,,0xd70f8258d9d83dc47c61e5ea7a636088dd6e9b999ab7ae6a76092b13cb2a2091,
