Trade ID,Type,Related Order,Market,Time,Price,Amount,Total,Fee,Net Total
6986372,SELL,16573205,DOGE/BTC,2018/1/10 5:10,0.00000085,13790.48982,0.01172192,0.00001758,0.01170434
6986371,SELL,16573205,DOGE/BTC,2018/1/10 5:10,0.00000085,7900,0.006715,0.00001007,0.00670493
6986370,SELL,16573205,DOGE/BTC,2018/1/10 5:10,0.00000085,8000,0.0068,0.0000102,0.0067898
6986369,SELL,16573205,DOGE/BTC,2018/1/10 5:10,0.00000085,40492.12351,0.0344183,0.00005163,0.03436667
6986368,SELL,16573205,DOGE/BTC,2018/1/10 5:10,0.00000085,3000,0.00255,0.00000383,0.00254617
6986367,SELL,16573205,DOGE/BTC,2018/1/10 5:10,0.00000085,19763.15907,0.01679869,0.0000252,0.01677349
6985338,SELL,16571862,SPRTS/DOGE,2018/1/10 5:06,0.00176,52889432.1,93085.4005,139.6281008,92945.7724
6857154,BUY,16337612,SPRTS/DOGE,2018/1/9 14:33,0.001598,126.5222782,0.2021826,0.00030327,0.20248587
6848309,BUY,16315246,SPRTS/DOGE,2018/1/9 13:37,0.001699,27215529.05,46239.18385,69.35877577,46308.54262
6844493,BUY,16315246,SPRTS/DOGE,2018/1/9 13:12,0.001699,1000000,1699,2.5485,1701.5485
6844422,BUY,16315246,SPRTS/DOGE,2018/1/9 13:12,0.001699,2725928.198,4631.352008,6.94702801,4638.299036
6844420,BUY,16315246,SPRTS/DOGE,2018/1/9 13:12,0.001699,1000000,1699,2.5485,1701.5485
6844151,BUY,16315246,SPRTS/DOGE,2018/1/9 13:10,0.001699,20947848.34,35590.39432,53.38559148,35643.77991
5736909,SELL,14307127,XP/DOGE,2018/1/3 5:34,0.1640001,237957.4712,39025.04907,58.53757361,38966.5115
5726693,BUY,14284380,XP/DOGE,2018/1/3 3:19,0.15659999,135956.1825,21290.73683,31.93610524,21322.67293
5716447,BUY,14263818,XP/DOGE,2018/1/3 1:10,0.137,102000,13974,20.961,13994.961
4712189,SELL,12090441,SHND/DOGE,2017/12/21 6:05,0.0000488,105622350.4,5154.3707,7.73155605,5146.639144
4489321,BUY,11581701,XP/DOGE,2017/12/17 14:14,0.04100001,1.28866646,0.05283534,0.00007925,0.05291459
4472055,BUY,11548465,SHND/DOGE,2017/12/17 10:15,0.00014389,52038468.67,7487.815257,11.23172288,7499.046979
4472049,BUY,11548465,SHND/DOGE,2017/12/17 10:15,0.00014389,12405504.59,1785.028056,2.67754208,1787.705598
4472048,BUY,11548465,SHND/DOGE,2017/12/17 10:15,0.00014389,14690851.87,2113.866676,3.17080001,2117.037476
4472047,BUY,11548465,SHND/DOGE,2017/12/17 10:15,0.00014389,15241406.33,2193.085956,3.28962893,2196.375585
4472046,BUY,11548465,SHND/DOGE,2017/12/17 10:15,0.00014389,11246118.95,1618.204055,2.42730608,1620.631362
3270427,SELL,8303824,ETH/BTC,2017/11/19 8:04,0.046503,0.10714171,0.00498241,0.00000747,0.00497494
3270420,SELL,8303824,ETH/BTC,2017/11/19 8:03,0.046503,0.00833879,0.00038778,0.00000058,0.0003872
3270395,SELL,8303824,ETH/BTC,2017/11/19 8:02,0.046503,1.2256106,0.05699457,0.00008549,0.05690908
3270380,SELL,8303824,ETH/BTC,2017/11/19 8:02,0.046503,0.00329591,0.00015327,0.00000023,0.00015304
3270374,SELL,8303824,ETH/BTC,2017/11/19 8:02,0.046503,1.34089577,0.06235568,0.00009353,0.06226215
3270356,SELL,8303824,ETH/BTC,2017/11/19 8:01,0.046503,0.00961509,0.00044713,0.00000067,0.00044646
3270355,SELL,8303824,ETH/BTC,2017/11/19 8:01,0.046503,2.08916183,0.09715229,0.00014573,0.09700656
3143287,SELL,7957847,ALIS/ETH,2017/11/16 11:48,0.0023,330.7960641,0.76083095,0.00114125,0.7596897
3143278,SELL,7957847,ALIS/ETH,2017/11/16 11:48,0.0023,214.782412,0.49399955,0.000741,0.49325855
3060866,BUY,7738998,ALIS/ETH,2017/11/14 14:46,0.00187,148.2398548,0.27720853,0.00041581,0.27762434
3060837,BUY,7738998,ALIS/ETH,2017/11/14 14:46,0.00187,52.8296639,0.09879147,0.00014819,0.09893966
3059311,BUY,7733920,ALIS/ETH,2017/11/14 14:18,0.00186,277.0554476,0.51532313,0.00077298,0.51609611
3059097,BUY,7733920,ALIS/ETH,2017/11/14 14:15,0.00186,1.99689488,0.00371422,0.00000557,0.00371979
3059002,BUY,7733920,ALIS/ETH,2017/11/14 14:14,0.00186,65.45661493,0.1217493,0.00018262,0.12193192
