Time,Coin,Amount,Fee,Receiving Address / txid,Status
2018/1/10 5:14,BTC,0.0788854,0.0015,1347JmRoj3uDnUbGivyF7mc8HhFqZgR5uD , Completed
,,,,df9ad9460961dd5a1b4034695ffa438bf1693cad67d68234ec18e0c6174f1224,
2018/1/3 5:39,DOGE,232468.2136,2,DPqXAA3yT8JC9rp8YPhVtavNsYLk5eZBhS , Completed
,,,,d8ce7b0fda71a584edc6954ae8d0c0a18adbf404206969b7dbadc984fb12182e,
2017/12/21 6:08,DOGE,5146.639144,2,DPqXAA3yT8JC9rp8YPhVtavNsYLk5eZBhS , Completed
,,,,ed828e81a3f9b23b60078391b4e1ab0d2441782676ef311a39ec17be0f3e261c,
2017/11/19 11:33,BTC,0.22213943,0.001,1EgZz1ut9tvM1XaNJ8Kbtu6YAAXETiXkR4 , Completed
,,,,66255440ff519323e7c354c4c9649c450ffb0a77520c02915de367cb0d0bed39,
2017/11/16 11:54,ETH,1.25295022,0.01,0x12c2623Ea3aAAeD432D512c86F5A8E3eA7099042 , Completed
,,,,0xe4f1f71a35a958eaa2c88bd56a432a7fdd24c2803768aa632665932c196b8549,
