DATE,CURRENCY,UNITS,FEE,FROM,TO
2018-01-16 21:57:17 UTC,JPY,10000,,CREDIT,coincheck
2018-01-16 21:04:59 UTC,JPY,10000,,CREDIT,coincheck
2018-01-16 09:48:56 UTC,JPY,10000,,CREDIT,coincheck
2018-01-16 08:28:25 UTC,JPY,10000,,CREDIT,coincheck
2018-01-16 08:13:40 UTC,JPY,10000,,CREDIT,coincheck
2018-01-16 00:44:04 UTC,JPY,50000,,CREDIT,coincheck
2017-12-31 04:15:19 UTC,JPY,100000,,CREDIT,coincheck
2017-12-25 21:21:14 UTC,JPY,50000,,CREDIT,coincheck
2017-12-22 09:15:16 UTC,JPY,10000,,CREDIT,coincheck
2017-12-19 05:14:03 UTC,JPY,50000,,CREDIT,coincheck
2017-12-08 01:59:20 UTC,JPY,100000,,CREDIT,coincheck
2017-08-15 00:00:00 +0900,JPY,20000,,BANK,coincheck
2017-08-23 17:26:23 +0900,BTC,0.0916,,,coincheck
2017-08-23 15:30:10 +0900,BTC,0.3087,,,coincheck
2017-08-22 16:54:01 +0900,BTC,0.1,,,coincheck
2018-01-25 08:27:19 +0900,XRP,535.277,0.15,,coincheck
2018-01-21 21:00:43 +0900,ZEC,0.008,0.001,,coincheck
2018-01-07 14:48:36 +0900,LSK,40.439,0.1,,coincheck
2018-01-03 11:03:20 +0900,ZEC,1.3732,0.001,,coincheck
2017-12-31 13:31:39 +0900,ETH,0.09529,0.01,,coincheck
2017-12-21 12:18:16 +0900,LSK,100.18,0.1,,coincheck
2017-12-19 14:10:05 +0900,LSK,100.18,0.1,,coincheck
2017-08-24 20:03:06 +0900,BTC,0.44947,0.001,,coincheck
2017-08-20 22:17:15 +0900,BTC,0.038,0.0005,,coincheck
