DATE,CURRENCY,UNITS,FROM,TO
02/20/2018,ETH,0.00281,,MyEtherWallet
01/25/2018,ETH,0.520107,,MyEtherWallet
12/30/2017,ETH,0.09529,,MyEtherWallet
12/30/2017,ETH,0.26169794,,MyEtherWallet
11/18/2017,ETH,4.7845007,,MyEtherWallet
11/16/2017,ETH,1.24295022,,MyEtherWallet
11/14/2017,ETH,1.00796876,,MyEtherWallet
11/09/2017,ETH,1.0126691,,MyEtherWallet
11/07/2017,ETH,0.998,,MyEtherWallet
11/02/2017,ETH,2.09180514,,MyEtherWallet
11/02/2017,ETH,0.7,,MyEtherWallet
10/18/2017,ETH,2.323931,,MyEtherWallet
10/03/2017,ETH,2,,MyEtherWallet
03/03/2018,WFEE,50,,MyEtherWallet
03/02/2018,GSC,20,,MyEtherWallet
03/02/2018,ALP,36,,MyEtherWallet
03/02/2018,RKT,5500,,MyEtherWallet
02/28/2018,SRN,306.5624,,MyEtherWallet
02/23/2018,LUCD,777,,MyEtherWallet
02/16/2018,SRN,529.5916,,MyEtherWallet
02/13/2018,RFR,200,,MyEtherWallet
02/04/2018,IOST,68,,MyEtherWallet
01/25/2018,MLD,303928.3339,,MyEtherWallet
01/10/2018,SRN,436.7601,,MyEtherWallet
01/04/2018,SRN,2069.4035,,MyEtherWallet
11/24/2017,VIU,19.9712,,MyEtherWallet
11/19/2017,VIU,19.9712,,MyEtherWallet
