DATE,CURRENCY,UNITS,FROM,TO
02/28/2018,LSK,10.12,,bittrex
02/16/2018,BTC,0.05778245,,bittrex
01/25/2018,XRP,535.277,,bittrex
01/22/2018,ZEC,0.008,,bittrex
01/07/2018,LSK,40.339,,bittrex
01/03/2018,DOGE,232466.2136,,bittrex
01/03/2018,ZEC,1.3732,,bittrex
01/01/2018,DOGE,39.22691366,,bittrex
12/21/2017,DOGE,5144.639144,,bittrex
12/21/2017,LSK,100.08,,bittrex
12/21/2017,DOGE,12167.65868,,bittrex
12/21/2017,MONA,97.69096,,bittrex
12/11/2017,XVG,8019.542857,,bittrex
12/04/2017,BCC,0.0145532,,bittrex
11/27/2017,BCC,1.03277443,,bittrex
11/23/2017,BTC,0.07620005,,bittrex
11/19/2017,BTC,0.22113943,,bittrex
11/17/2017,BCC,0.705768,,bittrex
11/16/2017,ETH,1.24250815,,bittrex
11/03/2017,ETH,2.09136306,,bittrex
11/02/2017,ETH,0.699,,bittrex
10/14/2017,BTC,0.0445,,bittrex
10/14/2017,BTC,0.0045,,bittrex
