DATE,CURRENCY,UNITS,FROM,TO
02/09/2018,ETH,0.521448397,MyEtherWallet,
01/12/2018,SRN,500,MyEtherWallet,
01/06/2018,ETH,0.105559,MyEtherWallet,
12/30/2017,ETH,0.24698794,MyEtherWallet,
11/18/2017,ETH,4.7840597,MyEtherWallet,
11/16/2017,ETH,1.242508149,MyEtherWallet,
11/14/2017,ETH,1.018313789,MyEtherWallet,
11/09/2017,ETH,2,MyEtherWallet,
11/02/2017,ETH,2.091363069,MyEtherWallet,
11/02/2017,ETH,0.699,MyEtherWallet,
10/23/2017,ETH,2.180825142,MyEtherWallet,
10/19/2017,ETH,0.15,MyEtherWallet,
10/04/2017,ETH,1.99,MyEtherWallet,
