取引所,日付(JST),取引項目,通貨ペア(+),通貨ペア(-),取引量(+)原価ベース,取引額(+)BTCベース,取引額(+)JPY時価,取引額(+)JPY原価,取引量(-)原価ベース,取引額(-)BTCベース,取引額(-)JPY時価,取引額(-)JPY原価,当日BTC時価,取引手数料,手数料通貨,取引手数料(JPY)
bitFlyer,2017/07/29,買い,ETH,JPY,2.1,"","","",49896,"","","","","","",""
zaif,2017/08/03,買い,XEM,JPY,15,"","","",386.415,"","","","","","",""
zaif,2017/08/03,買い,XEM,JPY,371,"","","",9561.0039,"","","","","","",""
zaif,2017/08/03,買い,ZAIF,JPY,432.3,"","","",51.40047,"","","","","","",""
zaif,2017/08/04,買い,BTC,JPY,0.0901,"","","",30000,"","","","","","",""
zaif,2017/08/04,買い,XEM,BTC,1099,"","","",1.18719475,"","","","","","",""
zaif,2017/08/06,買い,ZAIF,BTC,21,"","","",0.00000714,"","","","","","",""
zaif,2017/08/06,買い,ZAIF,BTC,34178,"","","",0.01127874,"","","","","","",""
zaif,2017/08/06,買い,BTC,JPY,0.0256,"","","",10000,"","","","","","",""
zaif,2017/08/06,買い,ZAIF,BTC,564,"","","",0.00019176,"","","","","","",""
zaif,2017/08/06,買い,ZAIF,BTC,35784,"","","",0.01216656,"","","","","","",""
zaif,2017/08/06,買い,ZAIF,BTC,9918,"","","",0.00337212,"","","","","","",""
zaif,2017/08/06,買い,ZAIF,BTC,1271,"","","",0.00043214,"","","","","","",""
zaif,2017/08/06,買い,ZAIF,BTC,163,"","","",0.00005542,"","","","","","",""
zaif,2017/08/06,買い,ZAIF,BTC,3,"","","",0.0000009,"","","","","","",""
zaif,2017/08/06,買い,ZAIF,BTC,1,"","","",0.00000031,"","","","","","",""
zaif,2017/08/11,買い,BTC,JPY,0.0475,"","","",20000,"","","","","","",""
zaif,2017/08/11,買い,ZAIF,BTC,92939,"","","",0.0278817,"","","","","","",""
zaif,2017/08/11,買い,ZAIF,BTC,171,"","","",0.00004959,"","","","","","",""
zaif,2017/08/11,買い,ZAIF,BTC,55328,"","","",0.01770496,"","","","","","",""
zaif,2017/08/13,買い,ZAIF,JPY,14.8,"","","",1.55844,"","","","","","",""
zaif,2017/08/13,買い,ZAIF,BTC,8103,"","","",0.00186369,"","","","","","",""
coincheck,2017/08/15,買い,XRP,JPY,1054.9,"","","",20000,"","","","","","",""
zaif,2017/08/18,買い,BTC,JPY,0.1975,"","","",100000,"","","","","","",""
zaif,2017/08/18,買い,ZAIF,BTC,387255,"","","",0.19750005,"","","","","","",""
zaif,2017/08/19,売り,BTC,XEM,0.04358104,"","","",750,"","","","","","",""
zaif,2017/08/19,買い,ZAIF,BTC,10320,"","","",0.0086688,"","","","","","",""
zaif,2017/08/19,買い,ZAIF,BTC,19165,"","","",0.01437375,"","","","","","",""
zaif,2017/08/19,買い,ZAIF,BTC,19,"","","",0.00001425,"","","","","","",""
zaif,2017/08/19,買い,ZAIF,BTC,74935,"","","",0.06219605,"","","","","","",""
zaif,2017/08/19,売り,BTC,XEM,0.0425932,"","","",733,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.0001562,"","","",142,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.15554,"","","",141400,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.000011,"","","",10,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.000022,"","","",20,"","","","","","",""
zaif,2017/08/20,買い,PEPECASH,BTC,1,"","","",0.00010425,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.00002863,"","","",26,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.0314364,"","","",28550,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.011011,"","","",10000,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.0010009,"","","",909,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.000011,"","","",10,"","","","","","",""
zaif,2017/08/20,買い,ZAIF,BTC,27591,"","","",0.02455599,"","","","","","",""
zaif,2017/08/20,買い,ZAIF,BTC,42696,"","","",0.03799944,"","","","","","",""
zaif,2017/08/20,買い,ZAIF,BTC,776,"","","",0.00069064,"","","","","","",""
zaif,2017/08/20,買い,ZAIF,BTC,132074,"","","",0.11754586,"","","","","","",""
zaif,2017/08/20,買い,ZAIF,BTC,129,"","","",0.00011481,"","","","","","",""
zaif,2017/08/20,買い,ZAIF,BTC,8275,"","","",0.00819225,"","","","","","",""
zaif,2017/08/20,買い,ZAIF,BTC,561474,"","","",0.55585926,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.009785,"","","",10300,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.1603201,"","","",168758,"","","","","","",""
zaif,2017/08/20,買い,ZAIF,JPY,64.9,"","","",25.8302,"","","","","","",""
zaif,2017/08/20,買い,BTC,JPY,0.0099,"","","",4433.3685,"","","","","","",""
zaif,2017/08/20,買い,BTC,JPY,0.0494,"","","",22121.32,"","","","","","",""
zaif,2017/08/20,売り,JPY,ZAIF,26580.53475,"","","",76711.5,"","","","","","",""
zaif,2017/08/20,売り,BTC,PEPECASH,0.18141362,"","","",56334,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.15338003,"","","",255378,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.0001964,"","","",327,"","","","","","",""
zaif,2017/08/20,買い,PEPECASH,BTC,4010,"","","",0.4204084,"","","","","","",""
zaif,2017/08/20,買い,PEPECASH,BTC,1,"","","",0.00010425,"","","","","","",""
zaif,2017/08/20,買い,PEPECASH,BTC,5293,"","","",0.55179525,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.0418957,"","","",38087,"","","","","","",""
zaif,2017/08/20,買い,PEPECASH,BTC,1,"","","",0.00000425,"","","","","","",""
zaif,2017/08/20,買い,PEPECASH,BTC,6833,"","","",0.02904025,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.000011,"","","",10,"","","","","","",""
zaif,2017/08/20,買い,PEPECASH,BTC,13612,"","","",0.057851,"","","","","","",""
zaif,2017/08/20,買い,PEPECASH,BTC,15616,"","","",1.627968,"","","","","","",""
zaif,2017/08/20,買い,PEPECASH,BTC,586,"","","",0.0610905,"","","","","","",""
zaif,2017/08/20,買い,PEPECASH,BTC,2,"","","",0.0000085,"","","","","","",""
zaif,2017/08/20,買い,PEPECASH,BTC,10382,"","","",0.0441235,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.000011,"","","",10,"","","","","","",""
zaif,2017/08/20,売り,BTC,ZAIF,0.0000011,"","","",1,"","","","","","",""
coincheck,2017/08/20,売り,BTC,XRP,0.038525,"","","",1054.9,"","","","","","",""
bitFlyer,2017/08/20,売り,BTC,ETH,0.0007173,"","","",0.01,"","","","","","",""
bitFlyer,2017/08/20,売り,BTC,ETH,0.007173,"","","",0.1,"","","","","","",""
bitFlyer,2017/08/20,売り,BTC,ETH,0.1355697,"","","",1.89,"","","","","","",""
zaif,2017/08/21,買い,ZAIF,JPY,5941.4,"","","",2198.318,"","","","","","",""
zaif,2017/08/21,買い,ZAIF,JPY,6.6,"","","",2.6103,"","","","","","",""
zaif,2017/08/21,買い,ZAIF,JPY,0.5,"","","",0.185,"","","","","","",""
zaif,2017/08/21,売り,JPY,ZAIF,92762.64,"","","",231906.6,"","","","","","",""
zaif,2017/08/21,買い,ZAIF,JPY,242834.1,"","","",89824.33359,"","","","","","",""
zaif,2017/08/21,買い,ZAIF,JPY,2000,"","","",739.8,"","","","","","",""
zaif,2017/08/22,売り,JPY,ZAIF,26.2545,"","","",69,"","","","","","",""
zaif,2017/08/22,売り,JPY,ZAIF,26.2545,"","","",69,"","","","","","",""
