OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-XP,LIMIT_SELL,301.59496,0.132,0,39.81053472,2018/1/1 16:07,2018/1/1 16:07
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-SPRTS,LIMIT_SELL,52889432.1,0.00176,139.6281008,92945.7724,2018/1/10 5:06,2018/1/10 5:06
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,19763.15907,0.00000085,0.0000252,0.01677349,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,40492.12351,0.00000085,0.00005163,0.03436667,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,3000,0.00000085,0.00000383,0.00254617,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,13790.48982,0.00000085,0.00001758,0.01170434,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,7900,0.00000085,0.00001007,0.00670493,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,8000,0.00000085,0.0000102,0.0067898,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,BTC-ZNY,LIMIT_BUY,8019.642857,0.00000056,9E-06,0.0045,2017/12/11 12:21,2017/12/11 12:21
84c327a0-d41d-449d-b99c-688f0c470170,ETH-ALIS,LIMIT_BUY,65.45661493,0.00186,0.00018262,0.12193192,2017/11/14 14:14,2017/11/14 14:14
84c327a0-d41d-449d-b99c-688f0c470170,ETH-ALIS,LIMIT_BUY,1.99689488,0.00186,0.00000557,0.00371979,2017/11/14 14:15,2017/11/14 14:15
84c327a0-d41d-449d-b99c-688f0c470170,ETH-ALIS,LIMIT_BUY,277.0554476,0.00186,0.00077298,0.51609611,2017/11/14 14:18,2017/11/14 14:18
84c327a0-d41d-449d-b99c-688f0c470170,ETH-ALIS,LIMIT_BUY,52.8296639,0.00187,0.00014819,0.09893966,2017/11/14 14:46,2017/11/14 14:46
