Date,Dealer,Exchange1,Exchange2,Type,Quantity,Limit,CommissionPaid,Price
2018/03/08 09:29:05,bitFlyer,JPY,MONA,BUY,0.457,503.2822757,,230
2018/03/08 09:28:25,bitFlyer,JPY,BTC,BUY,0.018,1098333.333,,19770
2018/03/06 09:21:33,bitFlyer,JPY,MONA,BUY,0.311,594.8553055,,185
2018/03/06 09:20:21,bitFlyer,JPY,BTC,BUY,0.02,1240750,,24815
2018/02/28 11:15:36,bitFlyer,JPY,MONA,BUY,0.125,648,,81
2018/02/28 09:46:22,bitFlyer,JPY,LSK,BUY,10.2,2443.039216,,24919
2018/02/20 20:27:22,bitFlyer,JPY,MONA,BUY,0.003,1000,,3
2018/02/20 20:24:48,bitFlyer,JPY,LSK,BUY,0.02,3400,,68
2018/02/20 20:24:18,bitFlyer,JPY,ETH,BUY,0.002,108500,,217
2018/02/20 20:22:49,bitFlyer,JPY,ETC,SELL,0.07,4000,,280
2017/10/12 09:10:51,bitFlyer,JPY,ETC,BUY,0.07,1371.428571,,96
2017/08/23 21:57:39,bitFlyer,BTC,ETH,SELL,0.095,0.07552,,0.0071744
2017/08/20 22:09:13,bitFlyer,BTC,ETH,SELL,1.89,0.07173,,0.1355697
2017/08/20 22:07:55,bitFlyer,BTC,ETH,SELL,0.1,0.07173,,0.007173
2017/08/20 22:07:11,bitFlyer,BTC,ETH,SELL,0.01,0.07173,,0.0007173
2017/07/29 08:12:06,bitFlyer,JPY,ETH,BUY,2.1,23760,,49896
