Date,Dealer,Exchange1,Exchange2,Type,Quantity,Limit,CommissionPaid,Price
2018/1/16 21:57,coincheck,JPY,XRP,BUY,74.707,133.8562651,,10000
2018/1/16 21:04,coincheck,JPY,XRP,BUY,65.534,152.5925474,,10000
2018/1/16 9:48,coincheck,JPY,XRP,BUY,59.605,167.7711601,,10000
2018/1/16 8:28,coincheck,JPY,XRP,BUY,53.612,186.5254048,,10000
2018/1/16 8:13,coincheck,JPY,XRP,BUY,48.799,204.922232,,10000
2018/1/16 0:44,coincheck,JPY,XRP,BUY,233.17,214.4358194,,50000
2017/12/31 4:15,coincheck,JPY,LSK,BUY,40.539,2466.760404,,100000
2017/12/25 21:21,coincheck,JPY,ZEC,BUY,0.72513,68953.15323,,50000
2017/12/22 9:15,coincheck,JPY,ETH,BUY,0.10529,94975.78118,,10000
2017/12/19 5:14,coincheck,JPY,ZEC,BUY,0.65807,75979.75899,,50000
2017/12/8 1:59,coincheck,JPY,LSK,BUY,100.28,997.2078181,,100000
2017/8/23 9:34,coincheck,BTC,XRP,BUY,1380,6.63768E-05,,0.0916
2017/8/23 7:00,coincheck,BTC,XRP,BUY,4309.3,7.16358E-05,,0.3087
2017/8/22 23:21,coincheck,BTC,XRP,BUY,1619.8,6.17515E-05,,0.100025
2017/8/15 0:04,coincheck,JPY,XRP,BUY,1054.9,18.95914305,,20000
2017/8/24 6:46,coincheck,BTC,XRP,SELL,7309.1,6.16314E-05,,0.45047
2017/8/20 12:53,coincheck,BTC,XRP,SELL,1054.9,3.652E-05,,0.038525
