Date,Dealer,Exchange1,Exchange2,Type,Quantity,Limit,CommissionPaid,Price
2017/10/15,bittrex,BTC,ZEC,BUY,1.17,0.04133012,0.00012086,0.0483562
2017/11/02,bittrex,BTC,ETH,SELL,0.699,0.04146133,0.00007245,0.02898147
2017/11/02,bittrex,BTC,LSK,BUY,10,0.00061109,0.00001527,0.0061099
2017/11/02,bittrex,BTC,ADA,BUY,1000,0.00000339,0.00000847,0.00339
2017/11/02,bittrex,BTC,ARDR,BUY,500,0.00002627,0.00003283,0.013135
2017/11/02,bittrex,BTC,ETC,BUY,4,0.0014122,0.00001411,0.00564879
2017/11/02,bittrex,BTC,ETH,SELL,0.09136306,0.04062226,0.00000927,0.00371137
2017/11/02,bittrex,BTC,ETH,SELL,1,0.04051,0.00010127,0.04051
2017/11/02,bittrex,BTC,LSK,BUY,10,0.00057486,0.00001437,0.0057486
2017/11/03,bittrex,BTC,BCC,BUY,0.43867154,0.08964996,0.00009831,0.03932688
2017/11/10,bittrex,ETH,BCC,SELL,0.43867154,2.3,0.00252236,1.00894454
2017/11/10,bittrex,ETH,ZEC,SELL,0.01,0.82675869,0.00002065,0.00826757
2017/11/10,bittrex,BTC,ETC,SELL,4,0.00218984,0.00002191,0.00876752
2017/11/10,bittrex,BTC,LSK,SELL,20,0.000857,0.00004285,0.01714
2017/11/10,bittrex,BTC,ZEC,SELL,1.16,0.03587656,0.00010403,0.04161687
2017/11/10,bittrex,BTC,BCC,BUY,0.48772934,0.1425,0.00017375,0.06950143
2017/11/10,bittrex,BTC,ARDR,SELL,73.36194873,0.0000317,0.00000581,0.00232557
2017/11/11,bittrex,BTC,ARDR,SELL,426.6380513,0.00003296,0.00003516,0.01406879
2017/11/11,bittrex,BTC,BCC,BUY,0.07070551,0.19799,0.00003499,0.01399898
2017/11/11,bittrex,BTC,ADA,SELL,1000,0.00000422,0.00001055,0.00422
2017/11/11,bittrex,BTC,BCC,BUY,0.02234906,0.18788375,0.00001049,0.00419902
2017/11/14,bittrex,ETH,BCC,SELL,0.25,4.05,0.00253124,1.0125
2017/11/14,coinexchange,ETH,ALIS,BUY,65.45661493,0.00186,0.00018262,0.12193192
2017/11/14,coinexchange,ETH,ALIS,BUY,1.99689488,0.00186,0.00000557,0.00371979
2017/11/14,coinexchange,ETH,ALIS,BUY,277.0554476,0.00186,0.00077298,0.51609611
2017/11/14,coinexchange,ETH,ALIS,BUY,148.2398548,0.00187,0.00041581,0.27762434
2017/11/14,coinexchange,ETH,ALIS,BUY,52.8296639,0.00187,0.00014819,0.09893966
2017/11/16,bittrex,BTC,BCC,SELL,0.33078391,0.157,0.00012983,0.05193307
2017/11/16,bittrex,BTC,WAVES,BUY,73.9834946,0.00069845,0.00012918,0.05167303
2017/11/16,coinexchange,ETH,ALIS,SELL,330.7960641,0.0023,0.00114125,0.7596897
2017/11/16,coinexchange,ETH,ALIS,SELL,214.782412,0.0023,0.000741,0.49325855
2017/11/16,bittrex,BTC,ETH,SELL,1.24250815,0.0441496,0.00013714,0.05485623
2017/11/16,bittrex,BTC,LSK,BUY,43.66668768,0.00125,0.00013645,0.05458335
2017/11/16,bittrex,BTC,LSK,SELL,43.66668768,0.00125,0.00013644,0.05458335
2017/11/16,bittrex,BTC,BCC,SELL,0.705768,0.13237,0.00023354,0.09342457
2017/11/16,bittrex,BTC,WAVES,SELL,73.9834946,0.00062219,0.00011507,0.04603211
2017/11/17,bittrex,BTC,BCC,BUY,1.35214798,0.1427887,0.00048266,0.19307144
2017/11/19,coinexchange,BTC,ETH,SELL,2.08916183,0.046503,0.00014573,0.09700656
2017/11/19,coinexchange,BTC,ETH,SELL,0.00961509,0.046503,0.00000067,0.00044646
2017/11/19,coinexchange,BTC,ETH,SELL,1.34089577,0.046503,0.00009353,0.06226215
2017/11/19,coinexchange,BTC,ETH,SELL,1.2256106,0.046503,0.00008549,0.05690908
2017/11/19,coinexchange,BTC,ETH,SELL,0.00329591,0.046503,0.00000023,0.00015304
2017/11/19,coinexchange,BTC,ETH,SELL,0.00833879,0.046503,0.00000058,0.0003872
2017/11/19,coinexchange,BTC,ETH,SELL,0.10714171,0.046503,0.00000747,0.00497494
2017/11/19,bittrex,BTC,BCC,BUY,1.44175045,0.153,0.00055145,0.2205878
2017/11/23,bittrex,BTC,LSK,BUY,75.93351414,0.00100102,0.00019002,0.07601096
2017/11/24,bittrex,BTC,LSK,SELL,40,0.00096807,0.0000968,0.03872279
2017/11/24,bittrex,BTC,ZEC,BUY,1.04700853,0.0368,0.00009631,0.0385299
