OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,13790.48982,0.00000085,0.00001758,0.01170434,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,7900,0.00000085,0.00001007,0.00670493,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,8000,0.00000085,0.0000102,0.0067898,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,40492.12351,0.00000085,0.00005163,0.03436667,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,3000,0.00000085,0.00000383,0.00254617,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,19763.15907,0.00000085,0.0000252,0.01677349,2018/1/10 5:10,2018/1/10 5:10
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-SPRTS,LIMIT_SELL,52889432.1,0.00176,139.6281008,92945.7724,2018/1/10 5:06,2018/1/10 5:06
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-SPRTS,LIMIT_BUY,126.5222782,0.001598,0.00030327,0.20248587,2018/1/9 14:33,2018/1/9 14:33
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-SPRTS,LIMIT_BUY,27215529.05,0.001699,69.35877577,46308.54262,2018/1/9 13:37,2018/1/9 13:37
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-SPRTS,LIMIT_BUY,1000000,0.001699,2.5485,1701.5485,2018/1/9 13:12,2018/1/9 13:12
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-SPRTS,LIMIT_BUY,2725928.198,0.001699,6.94702801,4638.299036,2018/1/9 13:12,2018/1/9 13:12
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-SPRTS,LIMIT_BUY,1000000,0.001699,2.5485,1701.5485,2018/1/9 13:12,2018/1/9 13:12
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-SPRTS,LIMIT_BUY,20947848.34,0.001699,53.38559148,35643.77991,2018/1/9 13:10,2018/1/9 13:10
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-XP,LIMIT_SELL,237957.4712,0.1640001,58.53757361,38966.5115,2018/1/3 5:34,2018/1/3 5:34
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-XP,LIMIT_BUY,135956.1825,0.15659999,31.93610524,21322.67293,2018/1/3 3:19,2018/1/3 3:19
84c327a0-d41d-449d-b99c-688f0c470170,DOGE-XP,LIMIT_BUY,102000,0.137,20.961,13994.961,2018/1/3 1:10,2018/1/3 1:10
