OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
84c327a0-d41d-449d-b99c-688f0c470170,BTC-RKC,LIMIT_SELL,104.8924068,0.00005322,0.00001116,0.005582,2/16/2018 9:15:00 AM,2/16/2018 9:15:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-RKC,LIMIT_SELL,69.01020428,0.00005323,0.00000735,0.003673,2/16/2018 9:15:00 AM,2/16/2018 9:15:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-RKC,LIMIT_SELL,81.86139918,0.0000533,0.00000873,0.004363,2/16/2018 9:15:00 AM,2/16/2018 9:15:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_SELL,11.5784067,0.00069183,0.00001602,0.00801,2/16/2018 9:14:00 AM,2/16/2018 9:14:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_SELL,1.42857143,0.0007,0.000002,0.001,2/16/2018 9:14:00 AM,2/16/2018 9:14:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_SELL,2,0.0007,0.0000028,0.0014,2/16/2018 9:14:00 AM,2/16/2018 9:14:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_SELL,4,0.0007,0.0000056,0.0028,2/16/2018 9:14:00 AM,2/16/2018 9:14:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_SELL,4.53038586,0.0007,0.00000634,0.003171,2/16/2018 9:14:00 AM,2/16/2018 9:14:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_SELL,0.72,0.00070005,0.00000101,0.000504,2/16/2018 9:14:00 AM,2/16/2018 9:14:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_SELL,1.22599491,0.00070006,0.00000172,0.000858,2/16/2018 9:14:00 AM,2/16/2018 9:14:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_SELL,26,0.000701,0.00003645,0.018226,2/16/2018 9:14:00 AM,2/16/2018 9:14:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_SELL,10.99960057,0.00070101,0.00001542,0.007711,2/16/2018 9:14:00 AM,2/16/2018 9:14:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_SELL,2.28161145,0.0007015,0.0000032,0.001601,2/16/2018 9:14:00 AM,2/16/2018 9:14:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-RKC,LIMIT_BUY,255.7640103,0.00009799,0.00005012,0.025062,1/28/2018 12:48:00 AM,1/28/2018 12:48:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,39316.82581,0.00000064,0.00005033,0.025163,1/28/2018 12:46:00 AM,1/28/2018 12:46:00 AM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_BUY,1.64743899,0.00123999,0.00000409,0.002043,1/26/2018 3:59:00 PM,1/26/2018 3:59:00 PM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_BUY,0.82619605,0.00123992,0.00000205,0.001024,1/26/2018 3:56:00 PM,1/26/2018 3:56:00 PM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_BUY,1.73428936,0.00123992,0.0000043,0.00215,1/26/2018 3:53:00 PM,1/26/2018 3:53:00 PM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_BUY,4,0.00123992,0.00000992,0.00496,1/26/2018 3:51:00 PM,1/26/2018 3:51:00 PM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_BUY,1.73428936,0.00123992,0.0000043,0.00215,1/26/2018 3:50:00 PM,1/26/2018 3:50:00 PM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_BUY,16.087673,0.00123992,0.00003989,0.019947,1/26/2018 3:48:00 PM,1/26/2018 3:48:00 PM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_SELL,49097.67846,0.00000066,0.00006481,0.032404,1/26/2018 3:48:00 PM,1/26/2018 3:48:00 PM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DBIX,LIMIT_BUY,38.73468416,0.0018003,0.00013947,0.069734,1/12/2018 5:42:00 PM,1/12/2018 5:42:00 PM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-DOGE,LIMIT_BUY,12170.65868,0.00000043,0.00001047,0.005233,12/21/2017 12:34:00 PM,12/21/2017 12:34:00 PM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SXC,LIMIT_SELL,1014.355904,0.00000518,0.00001051,0.005254,12/21/2017 12:28:00 PM,12/21/2017 12:28:00 PM
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SXC,LIMIT_BUY,1014.355904,0.00000429,0.0000087,0.004352,12/13/2017 11:53:00 AM,12/13/2017 11:53:00 AM
