DATE,CURRENCY,UNITS,STATUS
10/04/2017,ETH,1.99,Completed
10/19/2017,ETH,0.15,Completed
10/23/2017,ETH,2.180825142,Completed
11/02/2017,ETH,2.091363069,Completed
11/02/2017,ETH,0.699,Completed
11/07/2017,ETH,0.998,Completed
11/09/2017,ETH,2,Completed
11/10/2017,ETH,1.0126691,Completed
11/14/2017,ETH,1.00796876,Completed
11/14/2017,ETH,1.018313789,Completed
11/16/2017,ETH,1.242508149,Completed
11/16/2017,ETH,1.25295022,Completed
11/18/2017,BCC,1.35114798,Completed
11/18/2017,ETH,4.7840597,Completed
11/19/2017,BTC,0.22213943,Completed
11/20/2017,BCC,1.44075045,Completed
12/01/2017,BTC,0.09874983,Completed
12/06/2017,BTC,0.10704004,Completed
12/06/2017,ZNY,6283.879995,Completed
12/09/2017,ZNY,6283.78,Completed
12/10/2017,ZNY,6283.779995,Completed
12/11/2017,XVGCT,8019.642857,Completed
12/12/2017,BTC,0.00315974,Completed
12/15/2017,ZNY,2500,Completed
12/15/2017,ZNY,250,Completed
12/15/2017,ZNY,280.6799953,Completed
12/16/2017,ZNY,1250,Completed
12/16/2017,ZNY,2003,Completed
12/17/2017,DOGE,15220.85991469,Completed
12/21/2017,DOGE,12170.65868,Completed
12/21/2017,MONA,97.700960,Completed
12/30/2017,ETH,0.24698794,Completed
12/31/2017,ETH,0.26169794,Completed
01/01/2018,DOGE,39.23691366,Completed
01/03/2018,DOGE,214823.9281,Completed
01/03/2018,DOGE,131469.2608,Cancelled
01/03/2018,DOGE,13995.40794,Completed
01/03/2018,DOGE,232468.2136,Completed
01/04/2018,BTC,0.16502229,Completed
01/04/2018,SRN,2069.403528,Completed
01/06/2018,ETH,0.105559,Completed
01/09/2018,DOGE,89993.92106,Completed
01/10/2018,BTC,0.0788854,Completed
01/10/2018,SRN,436.7600834,Completed
01/12/2018,BTC,0.06987352,Completed
01/12/2018,SRN,500,Completed
01/26/2018,DOGE,49097.67846,Completed
01/28/2018,DOGE,39316.82581,Completed
02/09/2018,ETH,0.521448397,Completed
02/16/2018,SRN,529.5915811,Completed
02/16/2018,BTC,0.05878245,Completed
02/28/2018,SRN,306.5623901,Completed
