DATE,CURRENCY,UNITS,FEE,FROM,TO
2017/8/3,JPY,10000,,BANK,zaif
2017/8/4 10:10,JPY,30000,,CREDIT,zaif
2017/8/6 9:00,JPY,10000,,CREDIT,zaif
2017/8/11 22:02,JPY,20000,,CREDIT,zaif
2017/8/18 9:11,JPY,100000,,CREDIT,zaif
2017/8/20,BTC,0.038,,,zaif
2017/8/20,BTC,0.142906,,,zaif
2017/8/22,BTC,0.1,0.0005,zaif,
2017/8/22,BTC,0.2,0.0005,zaif,
2017/8/23,BTC,0.3087,0.0005,zaif,
2017/8/23,BTC,0.0916,0.0005,zaif,
2017/8/23,BTC,0.2067284,,,zaif
2017/8/25,BTC,0.44947,,,zaif
2017/10/2,JPY,140000,350,zaif,BANK
2017/10/2,ETH,2,0.01,zaif,
2017/10/3,BTC,0.005,0,zaif,
2017/10/11,JPY,50000,,BANK,zaif
2017/10/13,BTC,0.0045,0.0005,zaif,
2017/10/13,BTC,0.0445,0.0005,zaif,
2017/10/16 12:38,JPY,41000,,CREDIT,zaif
2017/10/18,JPY,70000,,BANK,zaif
2017/10/19,ETH,2.323931,0.01,zaif,
2017/10/21,JPY,10000,,BANK,zaif
2017/10/24,ETH,2.18082514,,,zaif
2017/11/2,JPY,20000,,BANK,zaif
2017/11/2,ETH,0.7,0.01,zaif,
2017/11/3,ETH,2.09180514,0.01,zaif,
2017/11/16,BCH,0.705768,0.001,zaif,
2017/11/18,BCH,1.35114798,,,zaif
2017/11/19,ETH,4.7845007,0.01,zaif,
2017/11/20,BCH,1.44075045,,,zaif
2017/11/23,BTC,0.07620005,0.0005,zaif,
2017/11/27,BCH,1.03277443,0.001,zaif,
2017/12/1,ERC20,24.537237,,,zaif
2017/12/4,BCH,0.0145532,0.001,zaif,
2017/12/11,JPY,20000,,BANK,zaif
2017/12/11,BTC,0.0045,0.0005,zaif,
2017/12/11 22:25,JPY,3000,,CREDIT,zaif
2017/12/12,BTC,0.00315974,,,zaif
2017/12/13,BTC,0.00436029,0.0005,zaif,
2017/12/20,MONA,4.994,0.001,zaif,
2018/1/1,JPY,100000,,BANK,zaif
2018/1/26,ETH,0.520107,0.02,zaif,
2018/2/10,BCH,0.1651002,0,zaif,
2018/2/10,XEM,6.0325808,0,zaif,
2018/2/28,MONA,0.128,,,zaif
