#,Market,Type,Rate,Amount,Total,Fee,Timestamp
,,,,,,,
49033750,RKC/BTC,Sell,0.00005322,104.8924068,0.005582,0.00001116,16/02/2018 9:15:00 AM
49033749,RKC/BTC,Sell,0.00005323,69.01020428,0.003673,0.00000735,16/02/2018 9:15:00 AM
49033748,RKC/BTC,Sell,0.0000533,81.86139918,0.004363,0.00000873,16/02/2018 9:15:00 AM
49033566,DBIX/BTC,Sell,0.00069183,11.5784067,0.00801,0.00001602,16/02/2018 9:14:00 AM
49033565,DBIX/BTC,Sell,0.0007,1.42857143,0.001,0.000002,16/02/2018 9:14:00 AM
49033564,DBIX/BTC,Sell,0.0007,2,0.0014,0.0000028,16/02/2018 9:14:00 AM
49033563,DBIX/BTC,Sell,0.0007,4,0.0028,0.0000056,16/02/2018 9:14:00 AM
49033562,DBIX/BTC,Sell,0.0007,4.53038586,0.003171,0.00000634,16/02/2018 9:14:00 AM
49033561,DBIX/BTC,Sell,0.00070005,0.72,0.000504,0.00000101,16/02/2018 9:14:00 AM
49033560,DBIX/BTC,Sell,0.00070006,1.22599491,0.000858,0.00000172,16/02/2018 9:14:00 AM
49033559,DBIX/BTC,Sell,0.000701,26,0.018226,0.00003645,16/02/2018 9:14:00 AM
49033558,DBIX/BTC,Sell,0.00070101,10.99960057,0.007711,0.00001542,16/02/2018 9:14:00 AM
49033557,DBIX/BTC,Sell,0.0007015,2.28161145,0.001601,0.0000032,16/02/2018 9:14:00 AM
45107497,RKC/BTC,Buy,0.00009799,255.7640103,0.025062,0.00005012,28/01/2018 12:48:00 AM
45106835,DOGE/BTC,Sell,0.00000064,39316.82581,0.025163,0.00005033,28/01/2018 12:46:00 AM
44715310,DBIX/BTC,Buy,0.00123999,1.64743899,0.002043,0.00000409,26/01/2018 3:59:00 PM
44714855,DBIX/BTC,Buy,0.00123992,0.82619605,0.001024,0.00000205,26/01/2018 3:56:00 PM
44714124,DBIX/BTC,Buy,0.00123992,1.73428936,0.00215,0.0000043,26/01/2018 3:53:00 PM
44713724,DBIX/BTC,Buy,0.00123992,4,0.00496,0.00000992,26/01/2018 3:51:00 PM
44713651,DBIX/BTC,Buy,0.00123992,1.73428936,0.00215,0.0000043,26/01/2018 3:50:00 PM
44713212,DBIX/BTC,Buy,0.00123992,16.087673,0.019947,0.00003989,26/01/2018 3:48:00 PM
44713075,DOGE/BTC,Sell,0.00000066,49097.67846,0.032404,0.00006481,26/01/2018 3:48:00 PM
39972011,DBIX/BTC,Buy,0.0018003,38.73468416,0.069734,0.00013947,12/01/2018 5:42:00 PM
28755525,DOGE/BTC,Buy,0.00000043,12170.65868,0.005233,0.00001047,21/12/2017 12:34:00 PM
28754366,SXC/BTC,Sell,0.00000518,1014.355904,0.005254,0.00001051,21/12/2017 12:28:00 PM
26448477,SXC/BTC,Buy,0.00000429,1014.355904,0.004352,0.0000087,13/12/2017 11:53:00 AM
