DATE,MARKET,TYPE,PRICE / SHARE,AMOUNT,TOTAL
"December 31, 2017, 04:44",SRN/ETH,Buy,0.00157422,150.4848137,0.2368962
"December 31, 2017, 04:43",SRN/ETH,Buy,0.00157422,6.41062663,0.01009174
"January 12, 2018, 07:53",SRN/BTC,Sell,0.00014307,87.74982075,0.01255437
"January 12, 2018, 07:52",SRN/BTC,Sell,0.00014407,5.19007815,0.00074773
"January 12, 2018, 07:52",SRN/BTC,Sell,0.00014407,128.7881262,0.01855451
"January 12, 2018, 07:52",SRN/BTC,Sell,0.00014407,9.10843592,0.00131225
"January 12, 2018, 07:52",SRN/BTC,Sell,0.00014407,26.87544779,0.00387195
"January 12, 2018, 07:52",SRN/BTC,Sell,0.00014407,24.72370795,0.00356194
"January 12, 2018, 07:51",SRN/BTC,Sell,0.00014453,139.6419094,0.02018245
"January 12, 2018, 07:51",SRN/BTC,Sell,0.00014407,77.92247387,0.01122629
"January 10, 2018, 06:04",SRN/BTC,Buy,0.000175,351.3629886,0.06148852
"January 10, 2018, 06:04",SRN/BTC,Buy,0.000175,90.83929707,0.01589688
"January 04, 2018, 19:02",SRN/BTC,Buy,0.00008452,0.02711624,0.00000229
"January 04, 2018, 19:02",SRN/BTC,Buy,0.00008452,3.58441321,0.00030295
"January 04, 2018, 13:27",SRN/BTC,Buy,0.000086,1139.0224,0.09795593
"January 04, 2018, 13:27",SRN/BTC,Buy,0.00008564,250.4452471,0.02144813
"January 04, 2018, 13:27",SRN/BTC,Buy,0.0000856,214.236498,0.01833864
"January 04, 2018, 13:27",SRN/BTC,Buy,0.00008559,297.5404415,0.02546649
"January 04, 2018, 13:27",SRN/BTC,Buy,0.00008558,17.61904761,0.00150784
"January 04, 2018, 13:24",SRN/BTC,Buy,0.00008466,0.00020675,0.00000002
