OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
84c327a0-d41d-449d-b99c-688f0c470170,ETH-SRN,LIMIT_BUY,150.4848137,0.00157422,-3.42281E-09,0.2368962,12/31/2017 4:44,12/31/2017 4:44
84c327a0-d41d-449d-b99c-688f0c470170,ETH-SRN,LIMIT_BUY,6.41062663,0.00157422,3.34652E-09,0.01009174,12/31/2017 4:43,12/31/2017 4:43
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_SELL,87.74982075,0.00014307,3.1453E-09,0.01255437,1/12/2018 7:53,1/12/2018 7:53
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_SELL,5.19007815,0.00014407,-4.55907E-09,0.00074773,1/12/2018 7:52,1/12/2018 7:52
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_SELL,128.7881262,0.00014407,4.65837E-09,0.01855451,1/12/2018 7:52,1/12/2018 7:52
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_SELL,9.10843592,0.00014407,-2.36299E-09,0.00131225,1/12/2018 7:52,1/12/2018 7:52
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_SELL,26.87544779,0.00014407,4.23689E-09,0.00387195,1/12/2018 7:52,1/12/2018 7:52
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_SELL,24.72370795,0.00014407,-4.60436E-09,0.00356194,1/12/2018 7:52,1/12/2018 7:52
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_SELL,139.6419094,0.00014453,4.83442E-09,0.02018245,1/12/2018 7:51,1/12/2018 7:51
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_SELL,77.92247387,0.00014407,-8.10451E-10,0.01122629,1/12/2018 7:51,1/12/2018 7:51
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_BUY,351.3629886,0.000175,-3.005E-09,0.06148852,1/10/2018 6:04,1/10/2018 6:04
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_BUY,90.83929707,0.000175,3.01275E-09,0.01589688,1/10/2018 6:04,1/10/2018 6:04
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_BUY,0.02711624,0.00008452,-1.8646E-09,0.00000229,1/04/2018 9:02,1/04/2018 9:02
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_BUY,3.58441321,0.00008452,-4.60451E-09,0.00030295,1/04/2018 9:02,1/04/2018 9:02
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_BUY,1139.0224,0.000086,3.6E-09,0.09795593,1/04/2018 3:27,1/04/2018 3:27
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_BUY,250.4452471,0.00008564,-9.61644E-10,0.02144813,1/04/2018 3:27,1/04/2018 3:27
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_BUY,214.236498,0.0000856,-4.2288E-09,0.01833864,1/04/2018 3:27,1/04/2018 3:27
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_BUY,297.5404415,0.00008559,3.61202E-09,0.02546649,1/04/2018 3:27,1/04/2018 3:27
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_BUY,17.61904761,0.00008558,1.90554E-09,0.00150784,1/04/2018 3:27,1/04/2018 3:27
84c327a0-d41d-449d-b99c-688f0c470170,BTC-SRN,LIMIT_BUY,0.00020675,0.00008466,2.49655E-09,0.00000002,1/04/2018 3:24,1/04/2018 3:24
