ID,Amount,Price,Trading Currency,Status,Time
848363,74.707,10000.0,XRP,completed,2018-01-16 21:57:17 UTC
845627,65.534,10000.0,XRP,completed,2018-01-16 21:04:59 UTC
825152,59.605,10000.0,XRP,completed,2018-01-16 09:48:56 UTC
819452,53.612,10000.0,XRP,completed,2018-01-16 08:28:25 UTC
818078,48.799,10000.0,XRP,completed,2018-01-16 08:13:40 UTC
812757,233.17,50000.0,XRP,completed,2018-01-16 00:44:04 UTC
620545,40.539,100000.0,LSK,completed,2017-12-31 04:15:19 UTC
613435,403.82,1000000.0,LSK,Payment failed,2017-12-30 16:45:05 UTC
548296,0.72513,50000.0,ZEC,completed,2017-12-25 21:21:14 UTC
500295,0.10529,10000.0,ETH,completed,2017-12-22 09:15:16 UTC
448471,0.65807,50000.0,ZEC,completed,2017-12-19 05:14:03 UTC
336673,100.28,100000.0,LSK,completed,2017-12-08 01:59:20 UTC
