date,txhash,from,to,token-name,token-address,value,symbol
2018/3/3 2:24,0x0f80dc6ed70e03e50355be5bb4fb2f4ffb8cf0785d1576050c3dd67104161bc3,0xaba1f96844397d80e2f9e4d6d6d185e4f9e44b7b,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,WFee,0xa37adde3ba20a396338364e2ddb5e0897d11a91d,50,WFEE
2018/3/2 18:39,0xb2c557ab61bb7181ad73a88b0cb61856610a4971348f37a4e0f036c094eac389,0x00805ea227ac94796e92f619440c590f3f8e1615,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,Global Social Chain,0x228ba514309ffdf03a81a205a6d040e429d6e80c,20,GSC
2018/3/2 15:59,0x16206a65eb76c446098b19c2c35c537b9f7989173dd05fc687aa8f0697045557,0xf2b7edae991e051a86954555dfea0b11952e5f2c,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,ALPHAPROTOCOL,0xf3dd3acf1662a564e15d7569fd80c105596e8846,36,ALP
2018/3/2 6:47,0x569896bc415c44070d8c1586082aff5cbacbe62fd5ac10063924a900a36f5f9d,0x03c76e17e7aaa2356d92a61c6eff8a0daaede9c3,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,Rock Token,0x106aa49295b525fcf959aa75ec3f7dcbf5352f1c,5500,RKT
2018/2/28 6:20,0x1055dedfa97ceff7740c1fc4546fe8e76e0434ff6e0e309f7d7671502da61c23,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,SIRIN,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,306.5624,SRN
2018/2/23 0:29,0x2be49c4bcfcf1163ad6648b9280f0b31f4e547160d11eda401f4fc3c37c616e7,0x0000000000000000000000000000000000000000,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,Level Up Coin Diamond | play2live.io,0x141356817b8fef2ebddd6a7aed876ee975ff6a08,777,LUCD | play2live.io
2018/2/16 4:45,0x96427da453b1690799618f60a40c40894c481538680cdc6304268cef1441ef98,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,SIRIN,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,529.5916,SRN
2018/2/13 18:20,0x87bd7e74148310b9e94aa9b3abcb3f434efc0f223cac91b20e43d2934d7d426b,0x5bb69406d697dbe6270f05e49c3376cb5a36783a,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,Refereum,0xd0929d411954c47438dc1d871dd6081f5c5e149c,200,RFR
2018/2/4 6:07,0x1939e4ccfb40f1890ea75fe3aef579684a84878f9ddb61b20e221bfbb3dee0af,0x9841cf34bc16af4658ff83a1837dc7d5da6ffa3b,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,IOSToken,0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab,68,IOST
2018/1/25 5:31,0x5e7f1a39666785110cad0855adea6493774e90f3634252de655ecabf8a10c871,0x5c8f033e2a29467d867c664d62baa08c2d332761,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,MOLD,0x52e30201f31283dc5f7928b4198896083f604416,303928.3339,MLD
2018/1/12 10:46,0x1a7947bbfc6601765ec01677f9a38b9763845dacd11e3e24a5e8e9ffe72919f5,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,0x9e42fb95e5a5dd1768f57765608df3ae4d05bc1b,SIRIN,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,500,SRN
2018/1/10 9:19,0xb3af6c078300430b384acbf1b28c390418804d6a22f5056212a61eea289cecaf,0x5e575279bf9f4acf0a130c186861454247394c06,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,SIRIN,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,436.7601,SRN
2018/1/4 22:24,0x32159eb898130553c5374aa13db6606ef6b0f7fd5db47b88f42efe0ca76cca35,0x5e575279bf9f4acf0a130c186861454247394c06,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,SIRIN,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,2069.4035,SRN
2017/11/24 11:10,0x0a1f2a017678bb8c4da4c04e5e49f8a61ab9aecc65759e2f21d458cda17dcb9f,0xae2b80f7f4d285caa658a285233550d19c8e7847,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,VIU,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5,19.9712,VIU
2017/11/19 8:09,0x2cf8428f29f93df7dad539c01eb5637adcd923a08b8964559bd553039839b52c,0xae2b80f7f4d285caa658a285233550d19c8e7847,0x12c2623ea3aaaed432d512c86f5a8e3ea7099042,VIU,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5,19.9712,VIU
