"マーケット","取引種別","価格","数量","取引手数料","ボーナス円","日時","コメント"
"xem_jpy","bid","25.76","15","0.015",,"2017-08-03 22:53:20.940984",
"xem_jpy","bid","25.7699","371","0.371",,"2017-08-03 22:53:20.940984",
"zaif_jpy","bid","0.1189","432.3","0",,"2017-08-03 22:53:46.058059",
"xem_btc","bid","0.00008025","1099","1.099",,"2017-08-04 10:14:52.288929",
"zaif_btc","bid","0.00000033","34178","0",,"2017-08-06 09:03:03.549500",
"zaif_btc","bid","0.00000034","564","0",,"2017-08-06 09:03:03.549500",
"zaif_btc","bid","0.00000034","35784","0",,"2017-08-06 09:03:03.549500",
"zaif_btc","bid","0.00000034","9918","0",,"2017-08-06 09:03:30.692924",
"zaif_btc","bid","0.00000034","1271","0",,"2017-08-06 09:04:17.568510",
"zaif_btc","bid","0.00000034","163","0",,"2017-08-06 09:05:21.397603",
"zaif_btc","bid","0.00000034","21","0",,"2017-08-06 09:07:11.781129",
"zaif_btc","bid","0.0000003","3","0",,"2017-08-06 14:21:24.810022",
"zaif_btc","bid","0.00000031","1","0",,"2017-08-06 23:09:05.800611",
"zaif_btc","bid","0.00000029","171","0",,"2017-08-11 22:04:46.707701",
"zaif_btc","bid","0.0000003","92939","0",,"2017-08-11 22:04:46.707701",
"zaif_btc","bid","0.00000032","55328","0",,"2017-08-11 22:04:46.707701",
"zaif_jpy","bid","0.1053","14.8","0",,"2017-08-13 11:53:27.181877",
"zaif_btc","bid","0.00000023","8103","0",,"2017-08-13 22:58:33.293737",
"zaif_btc","bid","0.00000051","387255","0",,"2017-08-18 11:16:04.473227",
"xem_btc","ask","0.00005805","750","0.00004354",,"2017-08-19 07:20:20.602984",
"xem_btc","ask","0.00005805","733","0.00004255",,"2017-08-19 07:20:20.602984",
"zaif_btc","bid","0.00000075","19165","0",,"2017-08-19 07:27:31.212461",
"zaif_btc","bid","0.00000075","19","0",,"2017-08-19 07:27:31.212461",
"zaif_btc","bid","0.00000083","74935","0",,"2017-08-19 07:34:45.502037",
"zaif_btc","bid","0.00000084","10320","0",,"2017-08-19 07:34:45.502037",
"zaif_btc","ask","0.0000011","909","0.000001",,"2017-08-20 13:28:08.656623",
"zaif_btc","ask","0.0000011","10000","0.000011",,"2017-08-20 13:28:08.656623",
"zaif_btc","ask","0.0000011","28550","0.0000314",,"2017-08-20 13:28:08.656623",
"zaif_btc","ask","0.0000011","26","0.00000003",,"2017-08-20 13:28:08.656623",
"pepecash_btc","bid","0.00000425","1","0.0001",,"2017-08-20 13:30:40.267232",
"zaif_btc","ask","0.0000011","20","0",,"2017-08-20 13:31:14.508055",
"zaif_btc","ask","0.0000011","10","0",,"2017-08-20 13:31:37.427770",
"zaif_btc","ask","0.0000011","141400","0",,"2017-08-20 13:31:49.822228",
"zaif_btc","ask","0.0000011","142","0",,"2017-08-20 13:31:51.639551",
"zaif_btc","ask","0.0000011","10","0",,"2017-08-20 13:31:53.604428",
"zaif_btc","ask","0.0000011","1","0",,"2017-08-20 13:31:54.409297",
"zaif_btc","ask","0.0000011","10","0",,"2017-08-20 13:32:07.954837",
"pepecash_btc","bid","0.00000425","10382","0",,"2017-08-20 13:32:21.243752",
"pepecash_btc","bid","0.00000425","2","0",,"2017-08-20 13:32:21.547440",
"pepecash_btc","bid","0.00000425","586","0.0586",,"2017-08-20 13:32:31.009406",
"pepecash_btc","bid","0.00000425","15616","1.5616",,"2017-08-20 13:32:31.009406",
"pepecash_btc","bid","0.00000425","13612","0",,"2017-08-20 13:32:41.329968",
"zaif_btc","ask","0.0000011","10","0",,"2017-08-20 13:32:50.826010",
"pepecash_btc","bid","0.00000425","6833","0",,"2017-08-20 13:34:09.809520",
"pepecash_btc","bid","0.00000425","1","0",,"2017-08-20 13:34:10.985434",
"zaif_btc","ask","0.0000011","38087","0",,"2017-08-20 13:35:55.218813",
"pepecash_btc","bid","0.00000425","5293","0.5293",,"2017-08-20 13:37:09.017698",
"pepecash_btc","bid","0.00000425","1","0.0001",,"2017-08-20 13:37:09.017698",
"pepecash_btc","bid","0.00000484","4010","0.401",,"2017-08-20 13:42:03.072482",
"zaif_btc","ask","0.0000006","327","0.0000002",,"2017-08-20 20:53:29.508240",
"zaif_btc","ask","0.0000006","255378","0.00015323",,"2017-08-20 20:53:29.508240",
